Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","221","Almonds, with shell","2020","2020","ha","8798","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","515","Apples","2020","2020","ha","75241","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","526","Apricots","2020","2020","ha","17062","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","486","Bananas","2020","2020","ha","32847","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","44","Barley","2020","2020","ha","48981","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","782","Bastfibres, other","2020","2020","ha","448","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","176","Beans, dry","2020","2020","ha","242151","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","414","Beans, green","2020","2020","ha","2007","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","558","Berries nes","2020","2020","ha","221","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","358","Cabbages and other brassicas","2020","2020","ha","5679","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","426","Carrots and turnips","2020","2020","ha","17632","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","265","Castor oil seed","2020","2020","ha","2993","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","393","Cauliflowers and broccoli","2020","2020","ha","10242","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","531","Cherries","2020","2020","ha","959","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","191","Chick peas","2020","2020","ha","943860","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","689","Chillies and peppers, dry","2020","2020","ha","60752","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","249","Coconuts","2020","2020","ha","1441","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","397","Cucumbers and gherkins","2020","2020","ha","2336","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","2020","2020","ha","106488","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","399","Eggplants (aubergines)","2020","2020","ha","7327","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","569","Figs","2020","2020","ha","69","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","512","Fruit, citrus nes","2020","2020","ha","","M","Data not available"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","619","Fruit, fresh nes","2020","2020","ha","169999","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","603","Fruit, tropical fresh nes","2020","2020","ha","67132","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","406","Garlic","2020","2020","ha","9426","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","720","Ginger","2020","2020","ha","4","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","507","Grapefruit (inc. pomelos)","2020","2020","ha","","M","Data not available"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","560","Grapes","2020","2020","ha","16967","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","242","Groundnuts, with shell","2020","2020","ha","136343","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","777","Hemp tow waste","2020","2020","ha","","M","Data not available"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","336","Hempseed","2020","2020","ha","0","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","780","Jute","2020","2020","ha","13","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","497","Lemons and limes","2020","2020","ha","12001","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","201","Lentils","2020","2020","ha","9540","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","372","Lettuce and chicory","2020","2020","ha","351","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","333","Linseed","2020","2020","ha","2385","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","56","Maize","2020","2020","ha","1417832","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","571","Mangoes, mangosteens, guavas","2020","2020","ha","214415","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","568","Melons, other (inc.cantaloupes)","2020","2020","ha","2122","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","79","Millet","2020","2020","ha","350400","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","234","Nuts nes","2020","2020","ha","4285","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","430","Okra","2020","2020","ha","26072","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","403","Onions, dry","2020","2020","ha","148200","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","490","Oranges","2020","2020","ha","135692","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","600","Papayas","2020","2020","ha","1638","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","534","Peaches and nectarines","2020","2020","ha","13417","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","521","Pears","2020","2020","ha","1576","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","187","Peas, dry","2020","2020","ha","34322","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","417","Peas, green","2020","2020","ha","31131","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","197","Pigeon peas","2020","2020","ha","6","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","223","Pistachios","2020","2020","ha","155","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","536","Plums and sloes","2020","2020","ha","5765","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","116","Potatoes","2020","2020","ha","185360","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","211","Pulses nes","2020","2020","ha","21931","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","394","Pumpkins, squash and gourds","2020","2020","ha","27557","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","270","Rapeseed","2020","2020","ha","403184","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","27","Rice, paddy","2020","2020","ha","3335105","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","149","Roots and tubers nes","2020","2020","ha","22025","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","280","Safflower seed","2020","2020","ha","0","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","328","Seed cotton","2020","2020","ha","2078899","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","289","Sesame seed","2020","2020","ha","170345","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","83","Sorghum","2020","2020","ha","125571","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","236","Soybeans","2020","2020","ha","106","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","723","Spices nes","2020","2020","ha","18703","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","373","Spinach","2020","2020","ha","6420","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","157","Sugar beet","2020","2020","ha","456","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","2020","2020","ha","1165030","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","267","Sunflower seed","2020","2020","ha","101080","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","122","Sweet potatoes","2020","2020","ha","1792","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","495","Tangerines, mandarins, clementines, satsumas","2020","2020","ha","51290","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","826","Tobacco, unmanufactured","2020","2020","ha","50789","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","388","Tomatoes","2020","2020","ha","57838","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","463","Vegetables, fresh nes","2020","2020","ha","61477","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","222","Walnuts, with shell","2020","2020","ha","1700","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","567","Watermelons","2020","2020","ha","38245","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","15","Wheat","2020","2020","ha","8804677","","Official data"
